Étiquettes de lignes;Nombre de Marque;Min. de Prix;Max. de Prix2
Dugena Kappa;1;503;503
Philip Stein;1;503;503
Oris Classic;51;503;2195
Tonino Lamborghini GT1;4;509;1150
Mido Baroncelli III;256;513;1985
Oris Williams F1;39;515;2905
Ingersoll Apache;1;516;516
Longines HydroConquest;934;516;4773
Frederique Constant Manufacture Slimline;51;517;14995
Hamilton Khaki Field Day Date;43;517;1365
Rado True;290;518;2792
Baume & Mercier Ilea;6;520;3639
Cartier Tank Vermeil;135;520;10500
Bruno Söhnle Rondomat II;5;520;1447
Hermès Kelly;70;520;2072
Montblanc Sport;62;520;8935
Oris BC3;13;520;1320
Seiko Velatura Kinetic Direct Drive;1;520;520
Vacheron Constantin;753;520;558380
Gucci Diamantissima;8;521;1340
Bulgari Rettangolo;57;523;13289
Louis Vuitton;408;523;832206
Mühle Glashütte;310;525;9580
N.O.A;6;525;2393
Jaeger-LeCoultre Memovox;153;530;17217
Aquanautic;39;535;8988
Frederique Constant Classics Automatic;17;535;30247
TAG Heuer Carrera Lady;429;535;7664
Movado SE Pilot;1;537;537
Sevenfriday P3-1;6;537;1650
Luminox F-22 Raptor;7;539;1433
Hermès Arceau;71;541;57480
Rado D-Star;41;541;2595
Longines PrimaLuna;272;547;4780
TAG Heuer Aquaracer Lady;500;547;6000
Ikepod;28;548;14000
Breitling Lady J;27;549;12999
Davosa Pares;2;549;582
Davosa Argonautic Lumis;36;549;1813
Cartier 21 Must de Cartier;137;549;2791
Ebel E-Type;19;549;5200
Hamilton Jazzmaster Maestro;77;549;2227
Hamilton Jazzmaster Traveler;10;549;1424
Seiko Bullhead;25;549;1731
Catorex;2;550;550
Frederique Constant Manufacture Classic;39;550;3424
Edox Classe Royale;2;550;7500
Hamilton Khaki Navy BeLOWZERO;26;550;2780
Louis Erard 1931;44;550;4411
Paul Picot Gentleman;57;550;4639
Oris TT3;10;550;2679
Steinhart Triton;7;550;2399
Roamer La Grande;2;550;550
Oris TT1;22;552;2278
DeLaCour;78;553;24500
Grand Seiko;426;553;96120
JeanRichard TV Screen;11;553;7800
TAG Heuer Link Lady;146;553;5529
Rado Integral;90;553;4801
Luminox Steel Colormark;3;554;650
Victorinox Swiss Army Night Vision;6;554;1000
Davosa Argonautic;67;555;1188
Rado Original;60;555;1931
Furlan Marri;35;556;2991
Corum Romvlvs;69;557;31493
Frederique Constant Slimline Mini;7;557;1380
Junghans max bill Automatic;94;557;1997
Universal Genève Microtor;22;557;4509
Ball Fireman;36;558;1894
Concord Delirium;12;558;8928
Longines Grande Vitesse;18;558;2628
Rado r5.5;7;558;2040
Strom Cruizer;3;559;3227
Theorein;8;560;6500
Gucci Twirl;7;562;1979
Dior Christal;43;564;38807
Bedat & Co;9;568;21218
Hamilton Khaki Navy UTC;7;569;1341
Sevenfriday M2-1;5;569;1619
Schaumburg;92;569;37815
Victorinox Swiss Army AirBoss;28;569;2520
Paul Picot C-Type;63;570;24635
Poljot Polar Bear;3;570;796
Eterna Soleure;8;575;3150
Laco Memmingen;27;575;2497
Bruno Söhnle Lagomat;3;577;1290
Rado DiaMaster;253;577;4520
TAG Heuer Connected;174;578;5985
Epos Sportive;43;582;2863
TAG Heuer Link;101;583;6310
Movado Series 800;17;586;2312
Bruno Söhnle Marcato;10;590;1109
Giuliano Mazzuoli;5;590;3450
IWC Porsche Design;99;590;22950
Zenith Elite;196;590;15871
Universal Genève Compax;208;590;78167
Omega Seamaster Planet Ocean;1268;591;75445
Epos;33;593;3266
Maurice Lacroix Les Classiques Tradition;72;593;4468
Alpina Startimer Pilot Automatic;58;595;2400
Bruno Söhnle La Traviata;6;595;666
Hamilton Khaki Navy Frogman;104;595;1693
Chase-Durer;15;596;1446
Frederique Constant Classics Art Deco;58;597;2483
Technomarine Black Reef;4;597;990
Davosa Ternos Automatic;100;599;995
Chopard L.U.C;363;599;220500
Meistersinger Neo;30;599;1396
NOMOS Ludwig;43;599;7008
Omega De Ville Prestige;2055;599;42948
Tudor Oyster Prince;59;599;4222
Armand Nicolet J09;60;600;3024
Meccaniche Veloci;29;600;6696
Longines Flagship Heritage;41;600;5478
Ball;91;601;4992
Marcello C. Tridente;7;601;1598
Epos Elégance;3;604;1899
Bruno Söhnle Atrium;1;605;605
Tudor Prince Oysterdate;224;605;15000
Concord C2;8;607;3629
Bulgari Assioma;128;607;39900
TAG Heuer Aquaracer;409;607;7426
Oris Artelier;19;613;2679
Dietrich;29;614;2116
Davosa Ternos Professional;56;615;1463
Maurice Lacroix Masterpiece;249;615;17713
Bedat & Co Nº8;16;621;11056
Nike;1;622;622
Tiffany Atlas;61;622;11168
Aerowatch 1942;7;624;1785
Omega Speedmaster;1311;626;139595
Rolex;845;626;657647
Epos Originale;31;627;2883
Rado HyperChrome;239;627;7832
Chopard Classic;163;630;72031
Epos Perfection;1;634;634
Junghans max bill MEGA;17;636;1142
Tonino Lamborghini;38;637;2691
Frederique Constant Classics Carree;14;641;2243
Hamilton Khaki Field Pioneer;5;641;1780
Junghans Meister Driver;35;645;2116
Longines Conquest Heritage;98;645;5541
Oris Aquis Date;855;645;5595
Ebel Discovery;77;649;10799
Cartier Trinity;82;650;21902
Davosa Classic Automatic;11;650;1006
Davosa World Traveller;4;650;1107
Hamilton Flintridge;4;650;1191
JeanRichard;27;650;7929
Oris Miles Tonneau;1;650;650
Davosa Argonautic Gun;1;651;651
Michele CSX;3;651;1670
Ventura;25;655;4881
Sevenfriday P2-1;17;657;1665
Vulcain Cricket;66;664;29486
Concord La Scala;22;670;8822
Ebel Lichine;17;670;9999
Movado Gravity;3;670;25797
Omega Seamaster 120 M;89;674;7700
Hamilton Pulsomatic;4;675;1371
Oris Chronoris;31;678;3660
Jaeger-LeCoultre Master Memovox;34;679;30129
Paul Picot Firshire;50;679;28003
Temption;30;680;3142
Zeno-Watch Basel NC Pilot;30;685;2818
Mühle Glashütte Terrasport II;23;688;2047
Tissot Heritage Navigator;6;690;8100
Junghans Meister MEGA;15;693;1190
Charriol Ael;2;694;800
Omega Seamaster Aqua Terra;2917;694;44043
Sevenfriday P2-2;6;694;1395
Rolex Oyster Perpetual;463;694;116143
Epos Passion;43;697;3004
Louis Erard Emotion;7;697;2418
Glycine Airman 17;3;698;1600
Krieger;8;698;16286
Davosa Military;2;699;805
Corum Trapeze;19;699;6787
Girard Perregaux Vintage 1945;157;699;395000
Ebel 1911 Discovery;14;699;2786
Mühle Glashütte City 99;7;699;1600
Oris Artelier Small Second;24;699;3400
Girard Perregaux Ferrari;72;700;105590
Eberhard & Co. Traversetolo;48;700;3500
Dior La D De Dior;40;700;21420
Oris Artix Date;23;700;1854
Rado eSenza;17;700;7816
Zeno-Watch Basel X-Large Retro;40;701;2886
Rolex Datejust;814;704;167508
Sevenfriday M1;13;704;1896
Ball Fireman Victory;15;706;1674
Epos Emotion;21;706;3347
Tissot Sea-Touch;1;708;708
Eterna 1948;31;712;4533
Aerowatch Renaissance;3;714;2503
Louis Erard Romance;5;720;1499
Sevenfriday P1-2;1;720;720
Longines Heritage;389;721;20800
Sevenfriday P1-5;1;721;721
Korloff;15;723;9971
Marcello C.;11;723;1498
Cartier Tortue;92;724;89285
Jacques Etoile;7;724;2234
Oris Big Crown;118;725;4235
Eterna Tangaroa;12;732;2775
Bruno Söhnle Grandioso;13;733;983
Frederique Constant Ladies Automatic;63;734;3912
Junghans Spektrum;5;735;1099
Frederique Constant Classics Moonphase;22;739;1995
Mido Great Wall;2;740;950
TAG Heuer Aquaracer 500M;122;740;4631
NOMOS;45;741;7176
TAG Heuer Aquagraph;12;741;2550
Baume & Mercier Promesse;166;744;5747
Mido Baroncelli Chronograph;6;744;1490
Michele Urban;5;745;11168
Chanel Première;221;749;45000
Hermès Heure H;304;749;19512
Bell & Ross;95;750;44112
Breitling Callistino;41;750;12999
Davosa Argonautic Ceramic;2;750;845
Breitling Wings Lady;18;750;4500
Meistersinger Neo Plus;40;750;1402
Louis Erard Les Asymétriques;4;750;1824
Omega Constellation Double Eagle;70;750;17941
NOMOS Orion 38;55;750;2451
Unikatuhren;4;750;6500
TAG Heuer Link Calibre 5;72;752;19116
Davosa Trailmaster;6;754;754
Sevenfriday P3-3;10;758;1563
Schwarz Etienne;22;760;43498
Raymond Weil Nabucco;25;761;7027
TAG Heuer Carrera Calibre 7;34;768;5850
Carl F. Bucherer Adamavi;46;776;10051
Sevenfriday P3;19;776;2890
Oris Divers;8;780;5000
Montblanc Star Classique;107;781;11670
Seiko Ananta;14;781;3574
Breitling Callisto;43;782;5950
Revue Thommen Tonneau;3;782;3024
Longines Record;490;785;6569
Montblanc Bohème;119;785;11930
Hamilton Khaki Flight Timer;7;789;1556
Armand Nicolet S05;19;790;2582
H.Moser & Cie. Endeavour;61;790;99224
Montblanc Tradition;117;790;3504
Meistersinger Urban;5;790;1446
Omega Speedmaster Split-Seconds;13;790;4461
Rado D-Star 200;8;790;2498
Werenbach;6;790;2500
Victorinox Swiss Army Alpnach;1;790;790
Hamilton Jazzmaster GMT Auto;12;792;1306
Fortis F-43;24;795;4639
Bogner Time;1;797;797
Davosa Titanium;13;799;1813
Chaumet Liens;10;799;20300
Boucheron Reflet;65;800;18000
Corum Bubble;188;800;18000
Glycine Lagunare;4;800;2228
Frederique Constant Classics Heart Beat;31;800;16129
Omega Constellation Quadra;43;800;6968
Technomarine TechnoDiamond;8;800;7000
Rolex GMT-Master II;3677;800;360235
Frederique Constant Runabout;4;802;1641
Marcello C. Nettuno 3;12;802;1997
Zeno-Watch Basel SOS Pilot;1;808;808
Oris Artelier Date;66;815;3978
TAG Heuer Link Calibre 6;16;817;2893
Frederique Constant Slimline Automatic;41;819;3893
Junghans Meister Handaufzug;7;820;1242
Louis Erard Excellence;48;821;6041
Dior Chiffre Rouge;16;824;6500
Chaumet Class One;72;825;8000
Ball Engineer II;25;828;4075
Armand Nicolet M03;52;829;5771
Bunz;16;830;7500
Baume & Mercier Clifton;848;831;27978
Chanel Mademoiselle;29;832;50419
Meistersinger Phanero;9;832;1597
Mido Multifort Chronograph;88;833;2282
Sinn 556;41;836;4659
Piaget;474;837;379699
Fortis B-47;10;838;2850
Michele Serein;19;838;1887
Mido Ocean Star GMT;54;838;1966
Omega Flightmaster;49;838;8367
NOMOS Club;34;838;3680
Tissot PRS 516 Extreme Automatic;5;838;1190
HD3 Slyde;3;840;2850
Oris Artix GT;23;845;3010
Doxa Sub;70;847;27919
Glycine Airman Base 22;1;849;849
Limes;1;849;849
JeanRichard Bressel;9;850;21500
IWC Da Vinci;39;850;44112
Junghans Bogner by Junghans;2;850;1590
Hublot Classic;162;850;24850
Longines Elegant;397;850;6701
U-Boat U-1001;13;850;4427
Tutima Pacific;4;850;2100
Hermès Cape Cod;162;852;16193
Laco Atacama;9;852;1068
Junghans Attaché;8;855;2495
Union Glashütte Viro Date;16;857;1412
Breitling Navitimer;957;860;46904
TAG Heuer Microtimer;6;862;2200
Mido Multifort GMT;3;865;1436
TAG Heuer Formula 1 Calibre 5;67;865;2624
Ulysse Nardin Classic;5;865;13400
JeanRichard Terrascope;8;868;8286
Breitling Colt Quartz;64;870;3550
Ball Engineer II Ohio;4;880;1893
Meistersinger N° 03;50;881;2007
Jorg Hysek;12;884;75000
Mühle Glashütte Terranaut II Trail;5;889;1380
Longines Spirit;540;890;5081
Tudor Prince Date;337;890;9500
Zeno-Watch Basel Mistery Square;6;890;1055
Gübelin;49;891;25000
Panerai Special Editions;146;892;172558
Breitling Transocean Chronograph;57;895;13960
Rado HyperChrome Chronograph;88;896;10168
Tiffany Atlas Dome;15;897;1690
Zenith El Primero;217;898;50442
Breitling Antares;13;899;2595
Cartier Panthère;794;899;244419
Charriol Alexandre C;2;899;1340
Eberhard & Co. 8 Jours;36;899;6836
Meistersinger Scrypto;11;899;5000
Tudor Classic;57;899;6828
Askania Tempelhof;2;900;2309
Chaumet Dandy;53;900;33224
Cuervo y Sobrinos Espléndidos;26;900;25000
Cartier Tank;547;900;100508
JeanRichard Aquascope;6;900;1980
Junghans Meister Classic;14;900;2069
Nivrel Héritage;6;900;1800
Marcello C. Hydrox;2;900;900
Perrelet First Class;5;900;1619
NOMOS Tetra;101;900;4154
Piaget Polo;128;900;96041
Oris Big Crown ProPilot Date;64;900;4346
Ralf Tech;85;900;7000
Union Glashütte Noramis;5;900;3200
Vulcain 50s Presidents;46;900;41834
Davosa Grande Diva;8;906;1006
Tonino Lamborghini Spyder;60;906;4246
Ball Engineer II Arabic;3;910;1670
TAG Heuer Carrera Calibre 5;321;912;5900
Bertolucci Serena;5;916;4565
Hamilton Jazzmaster Performer;48;921;2563
Movado Miri;1;921;921
Oris Artix Pointer;14;921;1874
Montblanc Timewalker;413;926;20900
NOMOS Ludwig 33;30;927;1824
U-Boat Flightdeck;22;927;3554
Frederique Constant Vintage Rally;69;928;2895
Hublot;314;930;223352
Ball Fireman Racer;3;931;1768
Frederique Constant Classics Index GMT;9;931;2155
Maurice Lacroix Pontos S Extreme;6;931;3784
Chopard Happy Sport;1702;934;94925
Longines Symphonette;72;938;20891
Longines Avigation;78;938;5256
Oris Divers Titan;5;938;3345
Junghans Meister Chronoscope;38;939;2100
Maurice de Mauriac;74;939;17597
Sevenfriday P1;5;939;1418
TAG Heuer Link Calibre 16;26;944;3909
Fortis B-42 Official Cosmonauts;6;945;2559
Hamilton Khaki Field Skeleton;4;945;1407
Sevenfriday P2;2;946;1300
Hanhart Pioneer;75;948;3574
Ebel Onde;10;949;4370
Oris Big Crown Small Second Pointer Day;3;949;1005
Askania Taifun;7;950;3171
Breitling Colt;61;950;8375
Chopard Ice Cube;36;950;16723
Meva;1;950;950
Longines Lindbergh Hour Angle;36;950;8878
Meistersinger Pangaea;24;950;2172
Oris Big Crown ProPilot GMT;41;950;3350
Panerai;924;950;161930
NOMOS Tetra 27;35;950;2195
NOMOS Tangente 33;40;950;2066
Paul Picot U-Boot;19;950;4900
Omega Seamaster Diver 300 M;2704;950;56500
Oris Artelier Complication;15;950;2116
Zenith Captain;11;950;7000
Tudor Monarch;21;954;3519
NOMOS Orion;50;955;3312
Longines Saint-Imier;58;961;8821
Frederique Constant Runabout Chronograph;41;963;3357
NOMOS Club Campus;84;968;9999
Eberhard & Co. Extra-Fort;156;970;12500
Laco Münster;38;970;2278
Porsche Design Flat Six;67;970;5336
Laco Leipzig;33;972;2497
Davosa Gentleman;14;974;1006
Breitling Colt Automatic;65;975;84322
Epos Sophistiquée;7;976;2883
Frederique Constant Slimline Heart Beat Automatic;33;980;2067
Frederique Constant Slimline Classics Automatic;2;980;1084
Hermès Harnais;2;980;1500
Vixa;1;980;980
Junghans max bill Chronoscope;56;982;7400
Montblanc 4810;118;983;29929
Askania Elly Beinhorn;1;990;990
Cuervo y Sobrinos;33;990;4211
Frederique Constant Runabout Automatic;33;990;3228
Ebel Le Modulor;12;990;3800
Eberhard & Co. Scafo;22;990;8934
Jaeger-LeCoultre Rendez-Vous;195;990;88798
Paul Picot Atelier;22;990;12597
Meistersinger N° 02;4;991;1813
Technomarine Blue Manta;1;992;992
Tudor Black Bay Steel;59;992;8307
N.B. Yäeger;2;993;993
Askania C. Bamberg;2;995;1449
Davosa Simplex;1;995;995
"Oris Regulateur ""Der Meistertaucher""";15;995;3725
Glycine Airman 18;1;997;997
Hacher;4;998;11750
Bovet;63;999;475085
Ebel Voyager;24;999;13350
Erwin Sattler;50;999;183149
Tutima Saxon One;11;999;5459
Ball Trainmaster;53;1000;31108
Carl F. Bucherer Archimedes;4;1000;7907
Mühle Glashütte Teutonia II;110;1000;3882
Montblanc Heritage Chronométrie;171;1000;11056
Porsche Design 1919;76;1000;26773
Sinn 104;37;1000;2580
Nauticfish;18;1004;2269
Oris Artelier Skeleton;16;1005;2355
Vulcain Golden Voice;1;1005;1005
Sevenfriday M2;3;1008;1890
Breitling Aerospace;45;1019;18979
Maurice Lacroix Pontos S;35;1020;3300
Fortis B-42 Marinemaster;4;1024;1750
TAG Heuer Formula 1 Calibre 16;119;1024;4394
Sevenfriday P1-4;2;1025;1125
Eterna Vaughan;9;1026;6504
Maurice Lacroix Pontos S Diver;11;1026;2439
Perrelet;75;1026;35907
Tissot T-Complication;14;1026;2783
Oris Big Crown ProPilot Day Date;62;1040;3595
Meistersinger Metris;22;1046;2190
Cronus;6;1048;1360
Bell & Ross Vintage;118;1050;12666
Breitling Pluton;23;1050;25000
Fortis Square;2;1050;2005
NOMOS Orion 33;73;1050;2072
Oris Rectangular;39;1050;2178
NOMOS Tangente;130;1050;4900
Union Glashütte Viro;1;1050;1050
Breitling Colt Oceane;40;1051;5583
Glycine Combat 7;1;1052;1052
Ball Engineer Hydrocarbon;135;1053;6103
Ball Engineer Master II;52;1053;4212
Azimuth;57;1053;8878
Mühle Glashütte 29er;55;1059;2345
Tudor Style;114;1067;3567
Frederique Constant Runabout Moonphase;4;1077;1850
Epos Oeuvre d'art;37;1082;13087
Chopard Mille Miglia;630;1090;32755
Breitling Transocean;24;1090;14920
Cattin;1;1090;1090
Meyers;6;1090;9995
Montblanc Heritage Spirit;111;1090;13089
Oris Aquis Titan;6;1090;2064
Tudor Clair de Rose;31;1091;3345
Corum Tabogan;22;1097;12500
Maurice Lacroix Masterpiece Small Seconde;17;1097;8822
Cartier Cougar;164;1099;12117
Girard Perregaux GP 7000;35;1099;11623
Sinn 456;1;1099;1099
Alpina Startimer Pilot Manufacture;7;1100;2271
Bell & Ross BR V1;55;1100;4993
Gérald Genta Gefica;24;1100;14980
Frederique Constant Manufacture;92;1100;10190
Eterna Super Kontiki;37;1100;10980
IWC Ingenieur;98;1100;17217
Mühle Glashütte Terranaut III Trail;2;1100;1290
Oris Artix Complication;4;1100;2100
Oris Aquis Small Second;45;1100;2475
TAG Heuer Formula 1 Calibre 6;28;1100;2104
Ikepod Megapode;12;1103;8822
Graf;16;1111;150763
Maurice Lacroix Masterpiece Réserve de Marche;16;1114;3500
TAG Heuer Carrera;905;1114;23183
Claude Meylan;39;1115;24645
Ball Fireman Storm Chaser;7;1116;2959
Breitling Colt Chronograph;53;1116;7984
Ebel X-1;7;1116;2567
Tudor Glamour Date;104;1116;7858
Ball Engineer Hydrocarbon Magnate;3;1117;2679
Mido Baroncelli Moonphase;2;1117;1117
Montblanc 1858;304;1117;32607
Chopard Happy Diamonds;372;1119;62738
Laco Dortmund;21;1121;2429
Longines Legend Diver;232;1126;13900
TAG Heuer Link Calibre 7;3;1126;1670
Laco Friedrichshafen;24;1130;2429
Paul Picot Paul Mariner III;17;1131;9862
Ball Engineer III;74;1132;3444
Jaquet-Droz Grande Seconde SW;59;1139;96611
Alexander Shorokhoff;110;1140;50319
Laco Westerland;15;1140;2429
Laco Saarbrücken;23;1140;2429
Ball Engineer Master II Diver;43;1150;3537
Armand Nicolet L06;1;1150;1150
Bertolucci Uomo;1;1150;1150
Concord Impresario;5;1150;4153
Mercure;1;1150;1150
Junghans Force Mega Solar;4;1160;1503
Mühle Glashütte S.A.R. Rescue-Timer;43;1160;2800
Dubey & Schaldenbrand;59;1163;13731
Maurice Lacroix Masterpiece Phases de Lune;49;1163;10031
Cartier Santos Galbée;398;1164;36434
Cartier 21 Chronoscaph;81;1165;6591
De Grisogono Instrumento N°UNO;34;1167;115000
Oris Dexter Gordon Limited Edition;1;1167;1167
Oris Artix Chronograph;8;1167;2687
Charriol Celtica;4;1170;1396
Mühle Glashütte Antaria;3;1170;3095
Mühle Glashütte 29er Big;26;1171;2395
Ball Engineer II Chronometer Red Label;1;1172;1172
Piaget Tanagra;25;1172;20102
Rolex Cellini;420;1172;97000
Chopard St. Moritz;58;1178;24513
TAG Heuer Carrera Calibre 6;26;1180;6701
Jaeger-LeCoultre Ideale;19;1190;9999
Oris Big Crown ProPilot Chronograph;14;1190;2725
U-Boat Thousands of Feet;15;1190;4442
Davosa Black Ternos;1;1195;1195
Longio;4;1195;6999
Breitling Chronomat;1060;1199;45676
Fortis B-42 Flieger;10;1199;2792
Tutima Military;14;1199;4995
Union Glashütte Seris;13;1199;4639
Breitling Cockpit Lady;36;1200;12500
Eberhard & Co. Champion V;25;1200;3172
JB Gioacchino;11;1200;3540
Meistersinger Pangaea Day Date;31;1200;2410
Sinn 240;4;1200;2480
Breitling Chronospace;27;1205;6968
Eberhard & Co. Tazio Nuvolari;83;1205;31288
Mühle Glashütte M 29 Classic;2;1205;1366
IWC Portofino Automatic;541;1206;23136
Montblanc Star 4810;17;1209;24634
Bell & Ross BR 01-92;57;1210;69999
Breitling Superocean;218;1210;23009
IWC Da Vinci Chronograph;73;1210;90223
Seiko Astron GPS Solar Chronograph;6;1210;2730
TAG Heuer Formula 1 Calibre 7;14;1210;2455
Montega;18;1217;18242
Tudor 1926;255;1220;3550
Movado Quadro;1;1223;1223
Rolex Precision;138;1228;930634
Cuervo y Sobrinos Prominente;39;1230;12320
Fortis B-42 Black;5;1230;3045
Citizen Eco-Drive One;71;1232;4881
Cuervo y Sobrinos Historiador;69;1232;21000
Oris ProDiver Date;7;1232;2786
Ralph Lauren;14;1232;8999
Tutima Grand Flieger Airport;13;1232;3731
Grand Seiko Heritage Collection;958;1234;86852
Mühle Glashütte Terrasport I;25;1239;2950
Patek Philippe Vintage;97;1239;128427
Anonimo Militare;37;1250;4706
Carl F. Bucherer Patravi;96;1250;39087
Union Glashütte Belisar Pilot;4;1250;1748
Porsche Design Dashboard;50;1256;12843
TAG Heuer Monaco Lady;21;1256;4355
Davosa X-Agon;5;1258;1495
Omega De Ville Trésor;398;1260;39990
Giuliano Mazzuoli Manometro;19;1264;6250
Cartier Ronde Solo de Cartier;196;1279;14077
Paul Picot Yachtman;21;1279;8642
Oris Calobra;4;1279;2488
IWC Yacht Club;70;1280;29327
Zenith Captain Chronograph;22;1280;14205
Eterna Heritage Military;2;1281;1456
Tudor Hydronaut;53;1281;4650
Eterna Heritage Pulsometer;6;1284;5370
Ball Trainmaster Roman;3;1290;2232
Chronoswiss Pacific;19;1290;4500
Marcello C. Diavolo;1;1290;1290
Sinn 656 / 657;2;1290;1650
TAG Heuer Carrera Calibre 16;548;1290;5123
IWC GST;64;1299;25900
Meistersinger Perigraph;41;1301;2786
Junghans Meister Telemeter;9;1302;2228
Maurice Lacroix Masterpiece Cinq Aiguilles;35;1302;7582
Cartier Pasha;781;1303;211556
Ernst Benz;24;1303;5122
Jacob & Co. Five Time Zone;118;1303;38007
Rolex Oyster Precision;81;1303;6999
Chronoswiss;48;1307;28757
Tudor Black Bay 32;48;1310;4000
Jaeger-LeCoultre Master Calendar;99;1312;69490
Tutima Grand Classic;18;1315;9990
Tudor Ranger;67;1320;117306
Victorinox Swiss Army Ambassador;2;1320;1514
Ball Trainmaster Cleveland Express;2;1340;1670
Eberhard & Co. Contograf;17;1340;18036
Oris Royal Flying Doctor Service Limited Edition;5;1340;1663
Ball Trainmaster Eternity;7;1348;2344
Ball Engineer Master II Aviator;9;1348;2234
Breitling Colt Skyracer;16;1349;2386
Perrelet Seacraft;4;1350;4000
Union Glashütte Belisar GMT;2;1350;1800
Frederique Constant Manufacture Slimline Moonphase;83;1370;9588
Oris Artelier Worldtimer;12;1373;3015
Zenith Baby Star;14;1374;88410
Ball Roadmaster;45;1378;3380
Michele Jetway;1;1378;1378
Hagal;1;1380;1380
Union Glashütte Noramis Date;33;1380;2803
Maurice Lacroix Pontos Chronographe Rétro;8;1385;3462
Luminox SR-71 Blackbird;1;1388;1388
Ebel Classic Hexagon;11;1390;6258
Revue Thommen Airspeed Instruments;3;1390;2047
Junkers Mountain Wave Project;1;1392;1392
Chopard Gstaad;21;1393;10525
Hermès Slim d'Hermès;16;1394;28087
Jaeger-LeCoultre AMVOX;50;1396;67028
IWC Pilot Mark;248;1396;39000
Oris Audi Sport;10;1396;2311
Oris Big Crown ProPilot;170;1396;8487
Union Glashütte Belisar Chronograph;49;1396;4709
Chanel J12;1164;1398;33122
Breitling B-1;38;1399;8500
Ebel Tarawa;11;1399;12490
Tutima M2;11;1399;4689
Bedat & Co Nº1;2;1400;2800
Bell & Ross BR 01-93 GMT;3;1400;2490
Chopard Two O Ten;25;1400;15635
Chopard La Strada;122;1400;54826
Frederique Constant Manufacture Classic Moonphase;19;1400;3893
Girard Perregaux Richeville;46;1400;13046
Franck Muller Cintrée Curvex;236;1400;148133
Maurice Lacroix Masterpiece Worldtimer;8;1401;3672
Oris Aquis Titanium Date;29;1406;3076
Azimuth Jagdbomber;3;1408;1670
Junghans Meister Kalender;9;1408;2289
Sevenfriday P3 BB;2;1408;1990
TAG Heuer Carrera Calibre 8;18;1408;3731
Meistersinger Salthora;6;1411;2563
Bell & Ross BR S;170;1412;10650
Ball Engineer Hydrocarbon Deepquest;14;1418;4466
NOMOS Tangente 38 Datum;19;1420;2566
NOMOS Ludwig 38;30;1422;2217
Oris Aquis;135;1423;4500
Sinn 103;40;1433;10000
Oris BC4;15;1446;4108
NOMOS Tangente 38;32;1446;2289
NOMOS Metro 38;22;1450;2395
Sinn UX;7;1450;4119
Van Cleef & Arpels Pierre Arpels;9;1450;36032
Bertolucci Pulchra;11;1451;9124
Jacob & Co.;147;1452;1225627
Breitling Aerospace Avantage;30;1459;8999
Longines Column-Wheel Chronograph;41;1461;8370
TAG Heuer SLR;13;1461;3192
Frederique Constant Ladies Automatic Heart Beat;17;1466;4650
Sinn 356;13;1466;3412
Hublot Elegant;46;1474;17465
Sinn 303;11;1481;2786
Franck Muller Long Island;266;1485;78117
Eterna Royal Kontiki;16;1490;4331
Milleret;2;1490;2228
Girard Perregaux Laureato;532;1494;167513
Blancpain;152;1495;390640
TAG Heuer Grand Carrera;123;1496;12669
Ball Engineer II Marvelight;10;1498;2735
Cartier Pasha C;401;1498;98537
Oris ProDiver GMT;15;1498;5025
Omega Speedmaster Date;400;1498;13414
Union Glashütte Noramis Chronograph;26;1498;3630
IWC Portofino Chronograph;272;1499;20012
Behrens;26;1500;18974
Alfred Rochat & Fils;4;1500;1850
Bell & Ross BR V2;288;1500;6100
Breitling Windrider;32;1500;35736
Corum Buckingham;22;1500;29928
Cartier Tank Française;718;1500;49249
Perrelet Class-T;6;1500;3345
TB Buti;25;1500;16700
Revue Thommen Moonphase;4;1500;2506
Rado HyperChrome Diamonds;70;1500;7174
Wyler Code R;9;1500;75600
Rolex Oyster Perpetual Lady Date;518;1508;12078
Ryser Kentfield;6;1508;5541
TAG Heuer Monza;39;1523;14896
Sinn 203;5;1523;3461
Sinn EZM 3;6;1524;3854
Bell & Ross BR 03;142;1529;6546
Breitling Colt Lady;10;1538;6057
TAG Heuer Carrera Calibre 1887;156;1539;8900
Luminox Field Automatic;2;1547;1843
Milus Agenios;1;1547;1547
Bulgari Lucea;123;1548;29594
Franck Muller Conquistador;115;1548;43638
Omega Seamaster 300;455;1548;126691
Rolex Oysterdate Precision;291;1548;9900
Chronoswiss Sirius;28;1549;13345
Anonimo Millemetri;5;1550;2850
Clerc;25;1550;9032
Davosa Vintage Rallye Pilot;1;1550;1550
Oris Hammerhead Limited Edition;5;1550;2450
Sinn 856 / 857;13;1550;2792
Union Glashütte Noramis Big Date;1;1550;1550
Porsche Design Chronotimer;35;1552;6686
TAG Heuer Link Calibre 18;5;1555;5602
Omega Speedmaster Day Date;245;1558;22334
Feldo;1;1563;1563
Ball Conductor;4;1568;2567
NOMOS Orion 1989;5;1571;3010
IWC Da Vinci Automatic;107;1583;37127
Cartier Tank Divan;81;1584;13960
NOMOS Club Automat;10;1586;4623
Breitling Top Time;142;1590;13401
Union Glashütte Belisar Big Date;2;1593;2195
Oris Miles Rectangular;2;1595;1995
Breitling Starliner;14;1597;19532
Chronoswiss Kairos;31;1599;15500
Cartier Ballon Bleu;200;1599;77838
Girard Perregaux Traveller;30;1599;25015
Maurice Lacroix Pontos Décentrique GMT;11;1599;10749
